FMS62, 04, 7, 0, Pan, Mandarin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS64, 01, 1, 0, Pan, Mandarin 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS64, 02, 2, 0, Yang, Mandarin 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS64, 03, 5, 0, Guan, Mandarin 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS64, 04, 7, 0, Guan, Mandarin 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS66, 01, 3, 0, Guan, Mandarin 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS66, 02, 4, 0, Guan, Mandarin 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS66, 03, 9, 0, Yang, Mandarin 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS66, 04, 10, 0, Yang, Mandarin 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS88, 01, 5, 0, Yang, Mandarin Chinese Conversation and Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&pREC_ID=253722
FMS88, 02, 6, 0, Yang, Mandarin Chinese Conversation and Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&pREC_ID=253722
FMS88X, 01, 8, 0, Guan, AP Mandarin Chinese Language, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&pREC_ID=253725
FSS62, 01, 1, 0, Carpenter, Spanish 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
